Year,Month,Anomaly,Unc.,Anomaly,Unc.
1891,8,-0.306,0.172,-0.296,0.087
1891,9,-0.273,0.146,-0.313,0.085
1891,10,-0.338,0.138,-0.322,0.085
1891,11,-0.492,0.152,-0.333,0.085
1891,12,-0.101,0.143,-0.326,0.085
1892,1,-0.269,0.153,-0.336,0.084
1892,2,-0.177,0.137,-0.346,0.084
1892,3,-0.447,0.129,-0.357,0.084
1892,4,-0.48,0.136,-0.35,0.083
1892,5,-0.395,0.149,-0.371,0.084
1892,6,-0.286,0.147,-0.404,0.084
1892,7,-0.464,0.163,-0.456,0.084
1892,8,-0.436,0.173,-0.492,0.082
1892,9,-0.402,0.142,-0.479,0.083
1892,10,-0.255,0.13,-0.469,0.083
1892,11,-0.743,0.15,-0.468,0.081
1892,12,-0.496,0.147,-0.468,0.081
1893,1,-0.894,0.147,-0.443,0.08
1893,2,-0.612,0.128,-0.429,0.08
1893,3,-0.291,0.119,-0.424,0.08
1893,4,-0.349,0.127,-0.421,0.08
1893,5,-0.384,0.151,-0.386,0.081
1893,6,-0.294,0.144,-0.377,0.079
1893,7,-0.166,0.159,-0.346,0.081
1893,8,-0.262,0.167,-0.331,0.08
1893,9,-0.345,0.141,-0.334,0.081
1893,10,-0.211,0.132,-0.347,0.082
1893,11,-0.329,0.133,-0.347,0.082
1893,12,-0.383,0.128,-0.361,0.084
1894,1,-0.529,0.144,-0.37,0.084
1894,2,-0.43,0.125,-0.371,0.084
1894,3,-0.321,0.127,-0.371,0.084
1894,4,-0.508,0.136,-0.372,0.084
1894,5,-0.388,0.142,-0.378,0.084
1894,6,-0.457,0.131,-0.373,0.084
1894,7,-0.28,0.163,-0.368,0.084
1894,8,-0.277,0.165,-0.371,0.084
1894,9,-0.345,0.154,-0.38,0.083
1894,10,-0.217,0.133,-0.361,0.083
1894,11,-0.407,0.126,-0.355,0.084
1894,12,-0.323,0.127,-0.34,0.083
1895,1,-0.469,0.14,-0.335,0.082
1895,2,-0.461,0.125,-0.337,0.083
1895,3,-0.426,0.139,-0.336,0.083
1895,4,-0.282,0.132,-0.337,0.082
1895,5,-0.314,0.159,-0.32,0.082
1895,6,-0.282,0.137,-0.31,0.083
1895,7,-0.223,0.165,-0.289,0.084
1895,8,-0.302,0.168,-0.274,0.084
1895,9,-0.333,0.142,-0.277,0.082
1895,10,-0.224,0.128,-0.289,0.083
1895,11,-0.203,0.132,-0.285,0.083
1895,12,-0.201,0.131,-0.273,0.083
1896,1,-0.224,0.145,-0.263,0.083
1896,2,-0.274,0.131,-0.248,0.083
1896,3,-0.459,0.111,-0.235,0.084
1896,4,-0.436,0.142,-0.219,0.083
1896,5,-0.265,0.15,-0.225,0.083
1896,6,-0.134,0.136,-0.217,0.084
1896,7,-0.106,0.161,-0.212,0.084
1896,8,-0.116,0.167,-0.212,0.084
